RK,NAME,TEAM,SALARY
1,"LeBron James, SF",Cleveland Cavaliers,30963450
2,"Kevin Durant, PF",Golden State Warriors,26540100
3,"Mike Conley, PG",Memphis Grizzlies,26540100
4,"James Harden, SG",Houston Rockets,26540100
5,"Russell Westbrook, PG",Oklahoma City Thunder,26540100
6,"DeMar DeRozan, SF",Toronto Raptors,26540100
7,"Al Horford, C",Boston Celtics,26540100
8,"Dirk Nowitzki, F",Dallas Mavericks,25000000
9,"Carmelo Anthony, PF",New York Knicks,24559380
10,"Damian Lillard, PG",Portland Trail Blazers,24328425
RK,NAME,TEAM,SALARY
11,"Chris Bosh, PF",Miami Heat,23741060
12,"Dwyane Wade, G",Chicago Bulls,23200000
13,"Dwight Howard, C",Atlanta Hawks,23180275
14,"Chris Paul, PG",LA Clippers,22868827
15,"Hassan Whiteside, C",Miami Heat,22116750
16,"Harrison Barnes, SF",Dallas Mavericks,22116750
17,"Bradley Beal, SG",Washington Wizards,22116750
18,"Anthony Davis, PF",New Orleans Pelicans,22116750
19,"Andre Drummond, C",Detroit Pistons,22116750
20,"Chandler Parsons, SF",Memphis Grizzlies,22116750
RK,NAME,TEAM,SALARY
21,"Derrick Rose, PG",New York Knicks,21323252
22,"Marc Gasol, C",Memphis Grizzlies,21165675
23,"Brook Lopez, C",Brooklyn Nets,21165675
24,"Kevin Love, PF",Cleveland Cavaliers,21165675
25,"DeAndre Jordan, C",LA Clippers,21165675
26,"Nicolas Batum, PF",Charlotte Hornets,20869566
27,"LaMarcus Aldridge, C",San Antonio Spurs,20575005
28,"Blake Griffin, PF",LA Clippers,20140839
29,"Paul Millsap, PF",Atlanta Hawks,20072033
30,"Ryan Anderson, PF",Houston Rockets,18735364
RK,NAME,TEAM,SALARY
31,"Allen Crabbe, G",Portland Trail Blazers,18500000
32,"Paul George, F",Indiana Pacers,18314532
33,"Luol Deng, F",Los Angeles Lakers,18000000
34,"Kawhi Leonard, SF",San Antonio Spurs,17638063
35,"Kyrie Irving, PG",Cleveland Cavaliers,17638063
36,"Jimmy Butler, SF",Chicago Bulls,17552209
37,"Tobias Harris, PF",Detroit Pistons,17200000
38,"Greg Monroe, C",Milwaukee Bucks,17145838
39,"Enes Freedom, C",Oklahoma City Thunder,17145838
40,"Wesley Matthews, SG",Dallas Mavericks,17145838
